date,time,weight[g],accX,accY,accZ,ActionId
10/14/2022,9:48,-1,-0.1,0,1,2
10/14/2022,11:33,-0.5,-0.1,0,1,3
10/14/2022,11:33,-0.6,0,0,1,3
10/14/2022,11:33,-0.7,-0.1,0,1,3
10/14/2022,11:33,-0.6,-0.1,0,1,3
10/14/2022,11:33,-0.6,-0.1,0,1,3
10/14/2022,11:33,-0.5,0,0,1,3
10/14/2022,11:33,-0.6,0,0,1,3
10/14/2022,11:33,-0.6,0,0,1,3
10/14/2022,11:33,-0.5,0,0,1,3
10/14/2022,11:33,5.5,-0.1,0,1,3
10/14/2022,11:33,-0.7,0,0,1,3
10/14/2022,11:33,-0.9,-0.1,0,1,3
10/14/2022,11:33,-0.7,0,0,1,3
10/14/2022,11:33,-0.8,-0.1,0,1,3
10/14/2022,11:33,-200.7,-0.1,0,1,3
10/14/2022,11:33,-164.8,-0.2,0,1.2,3
10/14/2022,11:33,-297,-0.2,0.1,1.1,3
10/14/2022,11:33,-297.1,0,-0.1,1,3
10/14/2022,11:33,-297.2,0.1,0.1,1,3
10/14/2022,11:33,-297.3,0,-0.1,0.9,3
10/14/2022,11:33,-297.4,0.2,-0.1,0.9,3
10/14/2022,11:33,-297.3,0.1,-0.1,1,3
10/14/2022,11:33,-297.4,0.2,-0.1,1,3
10/14/2022,11:33,-297.3,0.1,-0.2,0.9,3
10/14/2022,11:33,-297.3,0.1,-0.3,0.9,3
10/14/2022,11:33,-297.3,0.3,-0.1,1,3
10/14/2022,11:33,-297.2,0.2,-0.1,1,3
10/14/2022,11:33,-297.5,0.1,-0.2,0.9,3
10/14/2022,11:33,-297.4,0.1,-0.3,0.9,3
10/14/2022,11:33,-297.4,0,-0.1,1,3
10/14/2022,11:33,-297.3,-0.2,-0.1,1.1,3
10/14/2022,11:33,-297.3,0,0,1.1,3
10/14/2022,11:33,-297.4,0.3,0,0.9,3
10/14/2022,11:33,-297.3,0.2,0,1,3
10/14/2022,11:33,-297.3,0.1,-0.1,0.9,3
10/14/2022,11:33,-297.3,0,-0.1,1,3
